2020-05-11 22:35:11.060 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.kexin.admin.TestUserPassword], using SpringBootContextLoader
2020-05-11 22:35:11.073 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.kexin.admin.TestUserPassword]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-05-11 22:35:11.074 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.kexin.admin.TestUserPassword]: TestUserPassword does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-05-11 22:35:11.277 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.kexin.AdminApplication for test class com.kexin.admin.TestUserPassword
2020-05-11 22:35:11.374 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-05-11 22:35:11.386 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@20f12539, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@75b25825, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@18025ced, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@13cf7d52, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3a3e4aff, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5d2a4eed, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@57459491, org.springframework.test.context.event.EventPublishingTestExecutionListener@3f0846c6, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@77a98a6a, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@78fbff54, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3e10dc6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7e22550a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@45e37a7e]
2020-05-11 22:36:03.710 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.kexin.admin.TestUserPassword], using SpringBootContextLoader
2020-05-11 22:36:03.717 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.kexin.admin.TestUserPassword]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-05-11 22:36:03.718 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.kexin.admin.TestUserPassword]: TestUserPassword does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-05-11 22:36:03.831 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.kexin.AdminApplication for test class com.kexin.admin.TestUserPassword
2020-05-11 22:36:03.942 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-05-11 22:36:03.960 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3eeb318f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@20a14b55, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@39ad977d, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6da00fb9, org.springframework.test.context.support.DirtiesContextTestExecutionListener@a202ccb, org.springframework.test.context.transaction.TransactionalTestExecutionListener@20f12539, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@75b25825, org.springframework.test.context.event.EventPublishingTestExecutionListener@18025ced, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@13cf7d52, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3a3e4aff, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5d2a4eed, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@57459491, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3f0846c6]
2020-05-11 22:37:40.572 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.kexin.admin.TestUserPassword], using SpringBootContextLoader
2020-05-11 22:37:40.579 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.kexin.admin.TestUserPassword]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-05-11 22:37:40.580 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.kexin.admin.TestUserPassword]: TestUserPassword does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-05-11 22:37:40.677 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.kexin.AdminApplication for test class com.kexin.admin.TestUserPassword
